authorName,hIndex
Wil M.P. van der Aalst,21
C. Leung,19
P. William,15
Iqbal H. Sarker,12
L. Floridi,12
S. Chaudhuri,11
R. Agrawal,9
Christian Bizer,9
Eamonn J. Keogh,9
W. Fan,9
D. Stacey,8
A. Arasu,8
J. Brocke,8
A. Cuzzocrea,8
Guoliang Li,8
Colin M. Gray,8
Majid Rafiei,8
Michael Armbrust,7
Hsinchun Chen,7
G. Graefe,7
P. Christen,7
Erik Brynjolfsson,7
S. Leemans,7
J. Morley,7
O. Hartig,7
Sheng Wang,7
Diego Calvanese,7
Hamed Zamani,7
R. Sarno,7
Diederik P. Kingma,6
C. Dwork,6
Dan Hendrycks,6
P. Ferragina,6
L. Libkin,6
C. Aggarwal,6
A. Freitas,6
Casey Fiesler,6
Jing Tang,6
J. Plank,6
A. Berti,6
Yuyu Luo,6
P. Barceló,6
Djamal Belazzougui,6
Niels Martin,6
Chengliang Chai,6
D. Moher,5
Yoshua Bengio,5
Alex Graves,5
D. Wishart,5
Yang Song,5
M. Zaharia,5
Chaogan Yan,5
Thomas Hofmann,5
A. O'Connor,5
B. Mittelstadt,5
A. Doan,5
D. Hong,5
M. Stonebraker,5
Jun Wang,5
T. Lombrozo,5
M. Leoni,5
Nicolas Bruno,5
Lu Zhang,5
Andrea Burattin,5
Matthias Braun,5
T. Gagie,5
N. Pelekis,5
M. Breunig,5
F. Mannhardt,5
J. Friederich,5
Gamal Elkoumy,5
André Pomp,5
Kaiming He,4
W. Liu,4
Volodymyr Mnih,4
G. Salton,4
R. Caruana,4
C. Rudin,4
L. Bottou,4
L. Deng,4
E. Schegloff,4
A. McCallum,4
Nicolas Papernot,4
M. Irie,4
L. Barroso,4
Sandra Wachter,4
David Autor,4
D. Abadi,4
P. Buneman,4
K. Chakrabarti,4
M. Raissi,4
Hongzi Mao,4
H. V. Jagadish,4
L. Irani,4
Hakan Hacıgümüş,4
X. Zuo,4
X. Dong,4
Thomas Neumann,4
J. Hellerstein,4
O. Mutlu,4
Ahmed Eldawy,4
Vivek Seshadri,4
Wiwiek Katrina,4
S. Wamba,4
Charles M. Bishop,4
Mostafa Dehghani,4
Viktor Leis,4
P. Pauwels,4
Ryan Marcus,4
Berk Ustun,4
Stratos Idreos,4
A. Harth,4
Ke Yang,4
Lisi Chen,4
F. Légaré,4
M. Ryan,4
K. Höök,4
T. Babina,4
R. Bose,4
S. Suriadi,4
Mikolaj Bojanczyk,4
M. A. Bender,4
B. Vasey,4
Lin Ma,4
Kenneth Holstein,4
Xin Cao,4
Luke Munn,4
Yadong Mu,4
Dingming Wu,4
E. Deelman,4
Sebastian Schelter,4
A. Mueen,4
Mark Coeckelbergh,4
Katie Shilton,4
Siamak Farshidi,4
Laizhong Cui,4
N. Garcelon,4
Julia Stoyanovich,4
Volodymyr Leno,4
Nijat Mehdiyev,4
Alekh Jindal,4
Cecilia Panigutti,4
Chenhao Zhou,4
M. Chevalier,4
A. Kurniati,4
Qing Zheng,4
Anca Dumitrache,4
Minghua Wang,4
Gyunam Park,4
S. Qiu,4
S. Tan,4
M. Schaekermann,4
A. Sebaa,4
V. M. M. Siregar,4
F. Dehne,4
M. Mačák,4
Yann LeCun,3
L. Maaten,3
Radford M. Neal,3
Scott M. Lundberg,3
Martín Abadi,3
Xavier Glorot,3
Matthew D. Zeiler,3
Isabelle M Guyon,3
Christian Szegedy,3
Liang-Chieh Chen,3
A. Hevner,3
Hugo Touvron,3
Tero Karras,3
Shancang Li,3
Andreas Geiger,3
Christopher D. Manning,3
Aäron van den Oord,3
Keyulu Xu,3
J. Gilmer,3
E. Goffman,3
Lei Zhang,3
B. Shneiderman,3
M. Kanehisa,3
M. Isard,3
S. Auer,3
Jason D. Buenrostro,3
Ronald Fagin,3
D. Hand,3
Brian F. Cooper,3
Kristina Toutanova,3
O. Vinyals,3
Peng Jiang,3
A. Mislove,3
M. Bronstein,3
G. Elwyn,3
D. Lazer,3
Jonathan D. Power,3
Prajit Ramachandran,3
B. Lake,3
Dario Amodei,3
M. Marneffe,3
H. Nissenbaum,3
R. Salakhutdinov,3
H. Tsugawa,3
Xiaojin Zhu,3
Yin Cui,3
D. Cook,3
J. Euzenat,3
Shoshana Zuboff,3
M. Meyer,3
S. Weil,3
D. Norman,3
C. Schmid,3
M. Corces,3
Philip H. Winne,3
Iro Armeni,3
Mikael Henaff,3
Wei Wang,3
Shiyong Wang,3
Jia Li,3
A. Kumar,3
Tao Yu,3
Yunchao Gong,3
E. Choi,3
Alekh Agarwal,3
Geoffrey Raymond,3
F. Petitjean,3
M. Raghu,3
Jieyu Zhao,3
