paperId,journalName,volume,year
e936f248b2c0489316ed1521656af2564c3502c3,Scientific Data,5,2016.0
8dd0c1e955c66092ff951941a151336211e6e171,Molecular Ecology Resources,1,2019.0
04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd,BioTechniques,3,2003.0
c07802ed8a25998e9bd44ee1ddbcc63b7eb34060,IEEE Transactions on Knowledge and Data Engineering,32,2023.0
6548106035c7208ad498730627874a482734b9ac,Neural computing & applications (Print),43,2021.0
82e1e8b222aeaca19d45375b31fdc825d1a821b8,Big Data and Cognitive Computing,2,2022.0
91bda0785eaf642515eefc9ff2ecd7ddbacaccae,IEEE transactions on fuzzy systems,24,2021.0
d008893e01fa7f6c5fb01dadf3f97ee96835c303,Remote Sensing,44,2020.0
b7034546bee38ba13d3b312fce893a22e33ce4dd,Comput. Networks,32,2021.0
0df5a4f9cc8a244715fe9968732497d2ac2a7cd1,ACM Computing Surveys,16,2020.0
0f38b3d717e0fcc6eacc9c6e78b252227440e04e,ACM Transactions on Embedded Computing Systems,32,2021.0
9f9afed22cdc73be627932270a9bcae341df99d4,SIGMOD record,31,2021.0
1ff76ab0fcf22110df62337d462e15d79a2a2593,IEEE Transactions on Industrial Informatics,16,2020.0
799d5a8271887adede035644d878c7bd555576df,ISPRS Int. J. Geo Inf,13,2020.0
cd5b4b113d5fa90b5dc5aa372111b89d18df88fb,ACM Transactions on Management Information Systems,37,2021.0
98b9086750f08a21c8778ab986339321e9caf790,IEEE Network,49,2020.0
d5f169880e30e1f76827d72f862555d00b01bed9,CACM,42,1975.0
5b1e1696564e5a3021ac3a501c9deeb6c0fbc637,International Journal of Computer Vision,33,1991.0
7fb7364cf5f9bd48a9dd3a92a5243aae128afc24,Knowledge and Information Systems,29,2002.0
e7cf3c1a584b16d5e15e5fbec7c05762385d669e,Nature Biotechnology,7,2019.0
69a2479a49154e3bd51e44e636ab5692ed20b142,SIGIR Forum,18,1999.0
5fe8ed6e2c75a3b352be695f423cc2fac19446fa,Science,3,2015.0
7f8859a57e35c66164678710187d4374822411d8,Microbiome,38,2014.0
c4dd9a19d822c965ce8cde55ab23b8a0b628278a,BMC Bioinformatics,42,2015.0
75b868e844e58db707fb5dbf7acbe2e26ba8c122,Knowledge and Information Systems,26,2016.0
b538999f458a12df98d197befcc4426525cf8237,Computer Vision and Pattern Recognition,5,2016.0
443b22d027bf81e7c9ab81af3338c26e363bf769,,38,2005.0
f39d3e88cce063ccd3ca01100efd44dcabc9d3b4,IEEE Transactions on Pattern Analysis and Machine Intelligence,34,2003.0
d1281ad32607fb0ade628ba1b32c8ae7f06ad24e,Nucleic Acids Research,19,2011.0
7883f88428bb98508afeda2e65098ac56b640ca7,IEEE Transactions on Knowledge and Data Engineering,16,2012.0
a2ec47b9bcc95d2456a8a42199233e5d9129ef18,arXiv.org,49,2020.0
b7f5973dbf2ef76fcc3aea616a7f72ca79f09020,Structural Health Monitoring,48,2023.0
8cb6b81d333f907a3d9d0aa4fb4859bf5984ef78,Journal of Computing and Information Science in Engineering,50,2021.0
77e6c9917536949a82e5ca02c4882b69ee8a4fd6,IEEE Access,45,2020.0
965359b3008ab50dd04e171551220ec0e7f83aba,Neural Information Processing Systems,12,2019.0
417326e51d78ba8bd2621f23e539b41bbdd336d6,IEEE Transactions on Control Systems Technology,12,2019.0
2582ab7c70c9e7fcb84545944eba8f3a7f253248,Neural Information Processing Systems,2,2013.0
627d7d631fd4e0e2179f82199f014deb7ff0ea0b,Proc. ACM Program. Lang,13,2019.0
72a6a5d5864eb915231c7128b90977f1d2acf6e9,International Journal of Geographical Information Science,11,2019.0
eeac4411ae119c6c7ac33a11f762f2495b4dd960,IEEE Access,24,2018.0
ddc6e677715c03fe574319d3f80a3e1577bdbdd3,Technometrics,20,2018.0
ccca203382e5dd198c089a0f1d7af7bef0f694e9,Molecular Plant,19,2020.0
f117c6f12d067bd66dad40996b3931c069daa2da,MIS Q,3,2012.0
0b3885b3234bf0e164d01878910a27485ec2fc0d,Nature Reviews Earth & Environment,35,2023.0
4b06c7e29280b1c6bc05c9df39023b48fef02c93,arXiv.org,8,2021.0
85328b4a8132bf4299f8cd7f8e79e850d561c8fc,Iraqi Journal for Computers and Informatics,16,2022.0
6651ad48001380ea41c7bea2ce3e87d0da0de330,Science,32,2022.0
41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1,Journal of Big Data,11,2022.0
1bc34cb22131554ba18f6ba9e6ede5beb42939f1,International Journal of Information Management,46,2015.0
cc017a62c605a0749e35a1264a46d62e78fb68b7,Lecture Notes in Computer Science,32,2018.0
3b13c6a3a353e75dfefd1cd29c88dfdae6e3b164,ACM Computing Surveys,46,2022.0
6328f83a69b8e3ce052fc3fe5d3d910e2db5d18d,Nature Reviews. Cancer,31,2022.0
3a74bed911ccf213d9595b2b02a5b1c4ac4dcaf8,The Information Society,28,2017.0
178571a5cde984c895493e2eb6c5487449d055cf,Military Medical Research,48,2021.0
92fd5aaeacaa332a725e72647e20baec5c73b73d,Big Data and Cognitive Computing,16,2022.0
4dd88c1acee8c9d517a5f5aaac4415443b482084,Journal of Cloud Computing,7,2022.0
3962b74e02f2bcdb634d51bf51e5765807006a44,Nucleic Acids Research,7,2024.0
047eb33ad77581b3bb9611450a917ac2e6967d66,International Journal of Innovative Science and Research Technology,44,2024.0
627be67feb084f1266cfc36e5aed3c3e7e6ce5f0,CACM,21,2008.0
b204970b0503a923359bff532726666f5e0e971b,Nucleic Acids Res,5,2012.0
0e77433e802fed7507e496ca912cec1eff7b1d09,Drones,50,2023.0
48265726215736f7dd7ceccacac488422032397c,Neuroinformatics,16,2016.0
2880ac931c11176aee6d42a7e7bb0703aacde3f9,arXiv.org,27,2018.0
bbed457fd04ba4972018382d1a01a0bdde399d3c,Proteomes,26,2021.0
02104b7b37a00254bfad19ca1f73a51672add33b,IEEE Geoscience and Remote Sensing Magazine,24,2022.0
39602922b04885047254444fd1a1586d797617ce,Nature Protocols,7,2021.0
c15f30a3e84910a28cc560e7db097fd99339e8c1,Genome Biology,45,2015.0
4a7477881b66d12e79c704805781d4683a6a6be1,Briefings Bioinform,48,2021.0
f8056d942a1d8fe0ef73a6bd7758b3e12b0956fa,IEEE Internet of Things Journal,16,2020.0
07eb9ccbee3f631afe3e9cfea9c9d282f6f00458,Nature Reviews Chemistry,2,2024.0
10ef65b38efce54e0d6b575a895859ebd4ab678c,Advances in Materials,28,2023.0
182acc7a1c9a63cfdef9f86ee9df43fd75e05060,Science,31,2022.0
9fa4689274ffd1b0bebeae94ee2113340e2d1488,Communications of the ACM,39,2024.0
44827d03c13dc20c8d8116b422556986399584f6,BioTech,49,2023.0
7c8bd41e9cebdb01f445a51ba43839c8d9b3ab91,ACS Nano,6,2022.0
86dbd884043eb5807c61d2c65b813e673b4a04fa,IEEE Transactions on Industrial Informatics,14,2022.0
56714bc43a5c254d9bb31262802987053c94f47b,IEEE Transactions on Dependable and Secure Computing,15,2022.0
24ab4e99e582c9770281eee0a39cbeb70ddd891a,Foundations and Trends in Communications and Information Theory,36,2022.0
0863a5ce955e5193e535e1442086dc460dd295f0,Journal of the American Chemical Society,17,2022.0
b904dcdbd7c7b33938583f2f57d05ca70e121ea9,Big Data and Cognitive Computing,15,2022.0
eccad1576e6c67b2c93a5cb8d384d038fbb161d6,Nature Communications,46,2021.0
1e1cf81a1113482be3f0c280db994a832cb9426a,IEEE Transactions on Industrial Informatics,19,2020.0
7669fca7fbc071b4ca78b4c326ff8f3a4b6ae616,Nature Biotechnology,47,2018.0
287a7da1801a07cf7fd85ffcc23c79504876ecc0,National Science Review,26,2021.0
c9cc6a3c50b32e801f20b4f0ed5daf3e9550f9c1,Nature reviews genetics,15,2019.0
18d87bff073687c025f9bd23ab2dfb20d5f72a66,IEEE Transactions on Industrial Informatics,43,2020.0
6544259ff6b335b1dcec75e031b6d57e5b9509f4,Science Advances,5,2021.0
18fff2d1ef494f2726b93d2f8a119b874f2e3d1d,Nature Communications,34,2020.0
82663577cf1d08235bb56ad648c9dad36343ccfb,Science Advances,48,2021.0
2d57f5be0f829cdd3633ba28433bd2e3149db8e5,IEEE Transactions on Knowledge and Data Engineering,19,2023.0
d9c6b474fb2f303391b50c9fd59a5f2ce4becc0b,Semantic Web,29,2018.0
1fa4936fb06319c3f4536c26a447d5507c92bd48,IEEE Transactions on Vehicular Technology,25,2019.0
fa77a44f3f1857361a50c3137d623c35ef8a5739,Journal of the ACM,8,2016.0
c7660220afe8c91b726a012ceac194f4940bd893,International Journal of Business Information Systems,11,2010.0
7fe709ecc1e9d91ff80c5e8fa354bb1a773fa5f2,IEEE Transactions on Knowledge and Data Engineering,20,2017.0
256ccb81d8c3bb63f4299195584b8e9f9d60187a,Distributed and parallel databases,3,2015.0
8e3d116c7404afd1e66a51e11472bcd3b1e62180,BigData Congress [Services Society],25,2013.0
f134abeaf9bfd41f29b97aec675ec31895bf541d,Nature Network Boston,44,2019.0
530a059cb48477ad1e3d4f8f4b153274c8997332,Information Fusion,10,2019.0
e89dfa306723e8ef031765e9c44e5f6f94fd8fda,Artificial Intelligence,39,2017.0
21dff47a4142445f83016da0819ffe6dd2947f66,IEEE Access,43,2018.0
7b6a8c6d44e0f77bf930484e438d77b7465a69fb,Social Science Research Network,14,2023.0
