proceedingId,conferenceName
7cb4f73c-2f9d-4a05-aaae-804598da3568,/ International Conference of Software Engineering
151bed61-a7b8-488d-a671-62b7f67879b8,/ International Conference on Data Engineering
ed442b3a-5574-448a-9768-2015d02e141a,/ International Conference on Data Engineering
15a3c4b0-02f4-4068-a05a-ec2abeead85d,/ International Conference on Data Engineering
76a6ff09-620b-4e30-98bf-621c22e6810a,/ International Conference on Data Engineering
85bfe8d2-ac08-407d-b494-b5ac6e4ffcb7,/ International Conference on Data Engineering
04bc8e54-494f-42a8-9ee2-6a60309420e5,/ International Conference on Data Engineering
06978e67-b89e-44e5-91d1-012eb543a00e,/ International Conference on Data Engineering
0c908561-20a8-46f7-8617-cacd6ef175a1,/ International Conference on Data Engineering
7d88ea06-9074-4b4d-928d-a8d63059372d,AAAI Conference on Artificial Intelligence
b78b8325-af6f-4ffb-acfe-04777f587eeb,AAAI Conference on Artificial Intelligence
da0a1fc9-29f3-4e3d-a750-bb2eab29ec05,AAAI Conference on Artificial Intelligence
a2f0dc88-74bb-4838-be15-1f8abe9ac358,AAAI Conference on Artificial Intelligence
109d9278-50be-458c-829d-8cafc2c39dea,AAAI Conference on Artificial Intelligence
bf5cef5c-2c99-41b4-9ec1-99f100b2831d,AAAI Conference on Artificial Intelligence
e6702d1d-cd64-44af-9414-54934a12bbe9,AAAI Conference on Artificial Intelligence
631fe589-cb00-4622-98b7-600754d0558e,AAAI Conference on Artificial Intelligence
a98661b5-1d63-4a21-b064-ac92e69c80bc,AAAI Conference on Artificial Intelligence
bc4fbd06-9544-45fe-8a0f-2e35b1b8b161,AAAI Conference on Artificial Intelligence
42cda174-95be-4202-9913-83e2ad105643,AAAI Conference on Artificial Intelligence
08d322b9-a77e-455e-a1f1-50e0732ba9bc,AAAI Conference on Artificial Intelligence
2adf4c31-6299-409c-9e5f-a38bf221d603,AAAI Conference on Artificial Intelligence
b61ab7d3-22ad-40f5-ac32-c42f91148a50,AAAI Conference on Artificial Intelligence
82e9f822-481a-410f-ad48-df2ce736d8f5,AAAI Conference on Artificial Intelligence
544456c1-f6a0-4a5c-9615-c134b465dd75,AAAI Conference on Artificial Intelligence
73935de0-a1cc-4592-93b8-1c0b34ce0e86,AAAI Conference on Artificial Intelligence
6b837b1d-90af-4ca2-8eef-af1d228a8a7e,AAAI Conference on Artificial Intelligence
e031dadb-f8b7-4746-8b14-0acf42b17ece,AAAI Conference on Human Computation & Crowdsourcing
0222ff84-7a5d-4fa8-8539-0b94ab2cf145,AAAI Conference on Human Computation & Crowdsourcing
50395a7d-ad48-4cc2-83c8-497ab8a1072c,AAAI Conference on Human Computation & Crowdsourcing
ff1a8463-3eae-4b2c-bb5b-cf8e3d1c159f,AAAI Conference on Human Computation & Crowdsourcing
e8f7790d-98fd-4d2d-99b7-54daabd5dca2,AAAI Conference on Human Computation & Crowdsourcing
3c8f35b4-178b-4fde-9984-47ef439f5f60,AAAI Conference on Human Computation & Crowdsourcing
12edec52-87f3-456a-8d69-435a5f8a3fee,AAAI Conference on Human Computation & Crowdsourcing
720645d3-17fe-4e82-99db-09e997966263,AAAI Fall Symposium: Information Retrieval and Knowledge Discovery in Biomedical Text
0634871d-0eca-4502-8dc3-7a2ef9057efe,AAAI Spring Symposium: Linked Data Meets Artificial Intelligence
c0778d24-ce3b-4365-a49d-7fe33cab3b30,AAAI Spring Symposium: MLPS
1f92a61c-596b-41cf-bb3c-ff65152722a6,AAAI Workshops
b56d1c9a-920f-4596-a76c-ffdfa249729e,"AAAI/ACM Conference on AI, Ethics, and Society"
4483dac2-84a6-4cc9-84c4-1ee2f06b5399,"AAAI/ACM Conference on AI, Ethics, and Society"
0a9d10a6-e3b0-4b71-968f-c6df90c39bd0,"AAAI/ACM Conference on AI, Ethics, and Society"
010b227d-3138-4303-8ad4-b0972e4ce57e,"AAAI/ACM Conference on AI, Ethics, and Society"
1925b433-189f-41d5-82a2-721038cceed2,"AAAI/ACM Conference on AI, Ethics, and Society"
e451ba55-93f8-4677-859f-f731b0550735,AAMAS Workshops
dd0353e3-d49b-426f-b5f9-d251b9c91935,ACM Asia Conference on Computer and Communications Security
9eeed290-664f-402c-9244-4d8c46c5f68f,ACM Asia Conference on Computer and Communications Security
2034cd78-d35b-44fd-8fcf-a9c3e55e6bad,ACM Asia Conference on Computer and Communications Security
15face93-9437-498b-a0fd-b07b048fd225,ACM Asia Conference on Computer and Communications Security
73807c12-51c6-4179-bced-e1d90e134413,"ACM Conference on Health, Inference, and Learning"
abffb184-7954-4989-adce-3372a12f2534,ACM Conference on Hypertext & Social Media
d2a3584f-4a5c-4804-b1fd-68fbaac5a2d2,ACM Conference on Hypertext & Social Media
a3ddbfa0-0521-40d3-8c15-e48e5a22a70e,ACM Conference on Recommender Systems
0101990c-e53c-4ad7-ab67-7022d34c39fc,ACM Conference on Recommender Systems
6d0de5d1-8240-4c8f-9a64-613439c0d126,ACM Conference on Recommender Systems
aaaa982d-ef90-4620-b738-d86a485e593f,ACM Great Lakes Symposium on VLSI
7306be12-f13f-411d-9a4b-508784727758,ACM International Conference on Computing Frontiers
b6e8f684-b393-4af5-9ce5-08d25eaf55f9,ACM International Workshop on Storage Security And Survivability
f253806d-d75b-4b0e-b28f-4f2af696c326,ACM SIAM Symposium on Discrete Algorithms
88469137-b8a2-45f1-8eaa-16db440f0b42,ACM SIAM Symposium on Discrete Algorithms
ad6b7c12-d3e9-43a5-a7ee-634de1cd4337,ACM SIAM Symposium on Discrete Algorithms
c68600c0-7cf3-492e-9443-2111fbe931e3,ACM SIAM Symposium on Discrete Algorithms
cb26d5ae-b468-4dc0-8fbd-46d2b6b4f7d0,ACM SIAM Symposium on Discrete Algorithms
da3274b8-b86d-4bc6-b34d-b4ec571fe37a,ACM SIAM Symposium on Discrete Algorithms
d20ad0df-7bee-4a4a-ab30-caba1bd23761,ACM SIAM Symposium on Discrete Algorithms
79e54dcb-4982-4863-b5a3-88bcbd468bb6,ACM SIAM Symposium on Discrete Algorithms
4d30cb51-ba19-47a5-ae11-5b26d0732ff6,ACM SIAM Symposium on Discrete Algorithms
54af6623-40c9-477f-a4cf-d47da3641f32,ACM SIAM Symposium on Discrete Algorithms
0cdc6648-3354-4b6d-bf10-cab11717b716,ACM SIAM Symposium on Discrete Algorithms
bc244b29-2746-485d-96d5-e0a5918086e6,ACM SIAM Symposium on Discrete Algorithms
25c6bfd9-2ab3-4366-9213-32ac4260337d,ACM SIAM Symposium on Discrete Algorithms
f24f7d8b-aadf-4af6-9782-c45416711078,ACM SIAM Symposium on Discrete Algorithms
c0e1f958-5b91-4d36-8216-181f9ccf4131,ACM SIAM Symposium on Discrete Algorithms
88c47f47-178c-416c-a893-82d581c46c75,ACM SIAM Symposium on Discrete Algorithms
b5d4f16d-9c98-4b14-91d7-b492c028cfa6,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
126424b6-837b-4505-b0af-e0eee9c70a59,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
703c8e53-d2a1-4c43-a847-20d643e69213,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
8a6df0d1-6bde-4acf-b103-c3d7d17c2cd1,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
a273ba46-762c-4fd0-bcbf-d40b2cac0047,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
b063b88c-1d67-4015-9ffb-7cd9cb4c8499,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
175c5732-2ad0-4223-8f99-2a77300542ff,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
d485dbc3-5a69-44e8-9db2-85c38c1b805a,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
09db74d5-65ca-4a29-9695-79a2aebb4af3,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
21faa0dc-3483-4c71-b902-0445cb345b6c,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
8c06f1a4-f33f-415e-84e5-7f4e744afc69,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
6b10df90-b630-4b41-bf24-0b4a5d12324b,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
a55bfd5d-cf72-45e0-9444-f2aaf77f6108,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
c0472ad8-6942-4c01-8133-ebd9b376018a,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
7436e7b1-dfe0-4f8a-b809-a4573aba2a80,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
994d4866-84b4-410e-a705-8980ff7eb651,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
fe31205e-be76-47cf-937f-f40a5996117b,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
e6e4e269-f0c4-479d-af94-2b0157da6f64,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
0be1c32e-a59b-4751-a24a-78604892b4c8,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
57f2d4f5-43a1-4bf3-9c3d-707d1e64bcb7,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
2656ffba-3ad2-4bd7-aa9d-1ecc4f0e6dd6,ACM SIGACT SIGMOD SIGART Symposium on Principles of Database Systems
ce25799e-2284-443c-841d-16ca27e431f6,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing
5753d85c-672b-4ac1-b3cf-c61ebbb9c4be,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing
39a99853-c94e-4dc4-9a46-56c702acdc28,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing
3bea40e2-0e94-4c6f-8a8c-e7f97615bb21,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing
ea1de4a9-ce16-42eb-a21e-656e16572414,ACM SIGACT SIGOPS Symposium on Principles of Distributed Computing
8a2593ab-4ac1-446d-88c3-d5553a101723,ACM SIGACT Symposium on Principles of Programming Languages
775a8131-e50e-4ec5-8d98-a639d26779e1,ACM SIGCHI Annual Symposium on Computer Human Interaction in Play
9c8a061b-5427-46d9-98a4-c82e6566ea04,ACM SIGCHI Annual Symposium on Computer Human Interaction in Play
395056be-cf3a-447b-a838-4aebdec96cef,ACM SIGCOMM Conference
b320cc32-81c1-45d9-b97d-847f12c9079b,"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services"
