proceedingId,conferenceName,year,venue,city,edition
7cb4f73c-2f9d-4a05-aaae-804598da3568,/ International Conference of Software Engineering,1996,Sciences Po,Paris,1
151bed61-a7b8-488d-a671-62b7f67879b8,/ International Conference on Data Engineering,1997,Yonsei University,Seoul,1
ed442b3a-5574-448a-9768-2015d02e141a,/ International Conference on Data Engineering,1998,Cornell Tech,New York,2
15a3c4b0-02f4-4068-a05a-ec2abeead85d,/ International Conference on Data Engineering,1999,VU Amsterdam,Amsterdam,3
76a6ff09-620b-4e30-98bf-621c22e6810a,/ International Conference on Data Engineering,2000,University of Waterloo,Toronto,4
85bfe8d2-ac08-407d-b494-b5ac6e4ffcb7,/ International Conference on Data Engineering,2001,York University,Toronto,5
04bc8e54-494f-42a8-9ee2-6a60309420e5,/ International Conference on Data Engineering,2002,University College London,London,6
06978e67-b89e-44e5-91d1-012eb543a00e,/ International Conference on Data Engineering,2003,Northwestern University,Chicago,7
0c908561-20a8-46f7-8617-cacd6ef175a1,/ International Conference on Data Engineering,2004,Waseda University,Tokyo,8
7d88ea06-9074-4b4d-928d-a8d63059372d,AAAI Conference on Artificial Intelligence,1982,Nanyang Technological University,Singapore,1
b78b8325-af6f-4ffb-acfe-04777f587eeb,AAAI Conference on Artificial Intelligence,1994,Sorbonne University,Paris,13
da0a1fc9-29f3-4e3d-a750-bb2eab29ec05,AAAI Conference on Artificial Intelligence,2004,San Francisco State University,San Francisco,23
a2f0dc88-74bb-4838-be15-1f8abe9ac358,AAAI Conference on Artificial Intelligence,2006,Free University of Berlin,Berlin,25
109d9278-50be-458c-829d-8cafc2c39dea,AAAI Conference on Artificial Intelligence,2008,Korea Advanced Institute of Science and Technology,Seoul,27
bf5cef5c-2c99-41b4-9ec1-99f100b2831d,AAAI Conference on Artificial Intelligence,2010,Northwestern University,Chicago,29
e6702d1d-cd64-44af-9414-54934a12bbe9,AAAI Conference on Artificial Intelligence,2011,Tokyo Institute of Technology,Tokyo,30
631fe589-cb00-4622-98b7-600754d0558e,AAAI Conference on Artificial Intelligence,2014,University of Sydney,Sydney,33
a98661b5-1d63-4a21-b064-ac92e69c80bc,AAAI Conference on Artificial Intelligence,2015,New York University,New York,34
bc4fbd06-9544-45fe-8a0f-2e35b1b8b161,AAAI Conference on Artificial Intelligence,2016,Delft University of Technology,Amsterdam,35
42cda174-95be-4202-9913-83e2ad105643,AAAI Conference on Artificial Intelligence,2017,University of Amsterdam,Amsterdam,36
08d322b9-a77e-455e-a1f1-50e0732ba9bc,AAAI Conference on Artificial Intelligence,2018,Tsinghua University,Beijing,37
2adf4c31-6299-409c-9e5f-a38bf221d603,AAAI Conference on Artificial Intelligence,2019,Paris-Saclay University,Paris,38
b61ab7d3-22ad-40f5-ac32-c42f91148a50,AAAI Conference on Artificial Intelligence,2020,Imperial College London,London,39
